MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,objective,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.077176029513307,2.077176029513307,0.5,0.9,0.9,0.01,16,40,0.001,5000,14,gamma,0.8,True,True,False
2.0794969064181945,2.0794969064181945,0.8,0.9,0.1,0.02,12,60,0.0,2500,14,gamma,0.8,True,True,False
2.0743401630258917,2.0743401630258917,0.6,0.0,0.0,0.01,12,20,0.0,2500,18,mae,0.6,True,True,False
2.0851916017442957,2.0851916017442957,0.9,0.9,0.0,0.05,12,20,0.1,5000,18,mae,0.6,True,True,False
2.094272062889003,2.094272062889003,0.9,0.2,0.4,0.05,8,5,0.001,2500,16,gamma,0.7,True,True,False
2.077450263564822,2.077450263564822,0.7,0.6,0.1,0.05,-1,5,0.0,5000,10,regression_l1,0.9,True,True,False
2.0847492569758086,2.0847492569758086,0.9,0.6,0.2,0.02,16,5,0.1,2500,16,gamma,0.9,True,True,False
2.0764926892706685,2.0764926892706685,0.6,0.9,0.4,0.02,-1,20,0.1,1250,18,mae,0.6,True,True,False
2.080646367742687,2.080646367742687,0.8,0.2,0.9,0.02,12,60,0.0,2500,16,gamma,0.8,True,True,False
2.0716974035964544,2.0716974035964544,0.7,0.0,0.0,0.01,16,60,0.0,2500,12,gamma,0.6,True,True,False
2.080210462280994,2.080210462280994,0.5,0.2,0.1,0.05,12,10,0.0,2500,12,regression_l1,0.6,True,True,False
2.0738493157707154,2.0738493157707154,0.7,0.2,0.6,0.01,-1,40,0.01,5000,18,regression_l1,0.7,True,True,False
2.0926532266983013,2.0926532266983013,0.9,0.4,0.6,0.02,8,20,0.01,5000,12,gamma,0.6,True,True,False
2.0777309061814546,2.0777309061814546,0.6,0.4,0.9,0.02,-1,10,0.001,2500,12,regression_l1,0.7,True,True,False
2.078513880181605,2.078513880181605,0.7,0.0,0.4,0.01,12,10,0.01,2500,12,mae,0.9,True,True,False
2.0819471166741716,2.0819471166741716,1.0,0.9,0.9,0.05,-1,5,0.001,5000,18,mae,0.8,True,True,False
2.083420132876434,2.083420132876434,0.8,0.4,0.2,0.01,8,5,0.01,1250,18,regression_l1,0.6,True,True,False
2.0780302257119514,2.0780302257119514,0.5,0.4,0.1,0.01,-1,40,0.01,1250,18,regression_l1,0.9,True,True,False
2.0799420988284076,2.0799420988284076,0.5,0.0,0.2,0.05,8,20,0.01,1250,18,regression_l1,0.6,True,True,False
2.0745333160860056,2.0745333160860056,0.8,0.2,0.2,0.01,16,60,0.1,2500,10,gamma,0.8,True,True,False
2.080302605857593,2.080302605857593,0.5,0.9,0.2,0.02,12,40,0.0,2500,18,gamma,0.9,True,True,False
2.0914216563309487,2.0914216563309487,1.0,0.2,0.4,0.01,12,5,0.1,1250,12,regression_l1,0.6,True,True,False
2.0818301527599923,2.0818301527599923,1.0,0.9,0.1,0.01,8,5,0.0,2500,16,regression_l1,0.8,True,True,False
2.091313960415483,2.091313960415483,0.8,0.2,0.0,0.05,-1,20,0.001,1250,16,gamma,0.8,True,True,False
2.0736798031774226,2.0736798031774226,0.6,0.1,0.2,0.01,8,5,0.1,5000,14,regression_l1,0.9,True,True,False
2.0856897593544996,2.0856897593544996,0.7,0.6,0.9,0.01,12,5,0.01,1250,12,gamma,0.7,True,True,False
2.0813610940170073,2.0813610940170073,0.8,0.9,0.2,0.05,16,20,0.1,1250,14,mae,0.7,True,True,False
2.071034872294325,2.071034872294325,0.5,0.0,0.2,0.01,12,60,0.0,1250,14,gamma,0.7,True,True,False
2.078755775441229,2.078755775441229,0.9,0.9,0.4,0.01,12,60,0.1,5000,16,regression_l1,0.6,True,True,False
2.083298088005347,2.083298088005347,0.9,0.4,0.6,0.05,8,5,0.1,2500,12,regression_l1,0.6,True,True,False
2.0798911555374175,2.0798911555374175,0.6,0.0,0.4,0.05,8,20,0.0,2500,14,regression_l1,0.9,True,True,False
2.0859240033552644,2.0859240033552644,0.6,0.4,0.9,0.05,8,20,0.1,1250,14,gamma,0.6,True,True,False
2.073185672158739,2.073185672158739,0.6,0.2,0.0,0.01,8,40,0.001,5000,18,mae,0.8,True,True,False
2.0929351660539344,2.0929351660539344,0.8,0.9,0.1,0.05,16,40,0.01,5000,12,gamma,0.9,True,True,False
2.0784648638174814,2.0784648638174814,0.6,0.9,0.9,0.05,12,5,0.001,1250,14,mae,0.6,True,True,False
2.0817863583730056,2.0817863583730056,0.8,0.9,0.1,0.05,8,20,0.01,1250,10,regression_l1,0.7,True,True,False
2.0827235791288716,2.0827235791288716,0.6,0.6,0.1,0.01,16,40,0.01,1250,14,regression_l1,0.6,True,True,False
2.0960422386490927,2.0960422386490927,0.6,0.9,0.1,0.05,12,20,0.0,5000,12,gamma,0.9,True,True,False
2.080481413957232,2.080481413957232,0.8,0.6,0.4,0.02,8,20,0.1,2500,16,regression_l1,0.8,True,True,False
2.0748467865566496,2.0748467865566496,0.5,0.9,0.1,0.02,-1,40,0.001,2500,14,regression_l1,0.9,True,True,False
2.082966946776906,2.082966946776906,0.9,0.6,0.0,0.05,-1,10,0.001,5000,10,mae,0.8,True,True,False
2.085696230924643,2.085696230924643,0.7,0.2,0.6,0.02,8,10,0.01,2500,14,gamma,0.9,True,True,False
2.0817680423293217,2.0817680423293217,0.5,0.0,0.9,0.02,12,5,0.1,1250,10,mae,0.9,True,True,False
2.082963079494241,2.082963079494241,0.9,0.1,0.1,0.02,16,5,0.001,1250,10,mae,0.9,True,True,False
2.0879624971601296,2.0879624971601296,0.9,0.6,0.0,0.01,12,40,0.001,1250,18,regression_l1,0.6,True,True,False
2.0759933754077684,2.0759933754077684,0.7,0.0,0.4,0.01,8,5,0.1,2500,18,mae,0.6,True,True,False
2.0840116202390058,2.0840116202390058,0.9,0.0,0.1,0.01,12,60,0.0,2500,14,mae,0.6,True,True,False
2.0770953630537807,2.0770953630537807,0.6,0.9,0.2,0.02,12,10,0.001,1250,16,gamma,0.9,True,True,False
2.0757010777842364,2.0757010777842364,0.7,0.1,0.0,0.02,-1,10,0.1,2500,16,regression_l1,0.6,True,True,False
2.0818642497328947,2.0818642497328947,0.8,0.1,0.0,0.05,8,5,0.01,5000,10,regression_l1,0.8,True,True,False
2.08021351874581,2.08021351874581,0.5,0.6,0.6,0.02,16,10,0.001,5000,16,gamma,0.9,True,True,False
2.077049672311297,2.077049672311297,0.5,0.9,0.4,0.01,8,20,0.001,2500,12,mae,0.9,True,True,False
2.0914317690402635,2.0914317690402635,1.0,0.0,0.1,0.02,8,40,0.01,5000,18,gamma,0.6,True,True,False
2.082046012785807,2.082046012785807,0.7,0.0,0.0,0.01,-1,20,0.0,2500,12,gamma,0.8,True,True,False
2.077352846626692,2.077352846626692,0.7,0.2,0.2,0.05,-1,20,0.01,5000,14,mae,0.7,True,True,False
2.0842002200699676,2.0842002200699676,0.8,0.9,0.0,0.02,12,10,0.1,2500,16,gamma,0.8,True,True,False
2.081492027841734,2.081492027841734,0.9,0.4,0.4,0.02,16,40,0.001,2500,18,regression_l1,0.7,True,True,False
2.0825507555050606,2.0825507555050606,0.9,0.4,0.0,0.02,16,5,0.1,1250,16,gamma,0.7,True,True,False
2.079226226459924,2.079226226459924,0.8,0.1,0.4,0.02,12,20,0.1,2500,14,mae,0.8,True,True,False
2.092640922844906,2.092640922844906,1.0,0.4,0.6,0.01,12,20,0.1,1250,14,mae,0.9,True,True,False
2.0809868382640793,2.0809868382640793,0.5,0.6,0.1,0.01,-1,10,0.0,1250,18,mae,0.6,True,True,False
2.087000434046507,2.087000434046507,1.0,0.9,0.4,0.05,-1,40,0.001,1250,12,regression_l1,0.8,True,True,False
2.077010326443571,2.077010326443571,0.5,0.1,0.1,0.02,16,10,0.1,2500,14,regression_l1,0.7,True,True,False
2.0888134672115077,2.0888134672115077,0.7,0.6,0.2,0.05,8,60,0.001,2500,14,gamma,0.7,True,True,False
