MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.0498665070933653,2.0498665070933653,0.02,0.6,0.9,0.02,16,20,0.01,2500,18,0.4,False,True,False
2.040038347504757,2.040038347504757,0.01,0.4,0.1,0.01,16,100,0.01,2500,16,0.8,True,True,False
2.050558397003901,2.050558397003901,0.02,0.9,0.1,0.02,16,5,0.0,2500,12,0.8,False,True,False
2.0601470441606424,2.0601470441606424,0.04,0.0,0.6,0.005,-1,40,0.0,2000,22,0.4,False,True,False
2.0447748255822065,2.0447748255822065,0.02,0.0,0.4,0.01,16,60,0.001,2500,18,0.6,True,True,False
2.0605889899200607,2.0605889899200607,0.03,0.0,0.0,0.005,8,10,0.1,1500,14,0.8,False,True,False
2.053544993070376,2.053544993070376,0.04,0.4,0.2,0.005,-1,40,0.1,2500,18,1.0,True,True,False
2.056683473614775,2.056683473614775,0.04,0.2,0.0,0.01,-1,60,0.001,2000,12,0.4,True,True,False
2.039509494681776,2.039509494681776,0.01,0.0,0.9,0.01,16,60,0.01,2500,16,1.0,True,True,False
2.0654903806244937,2.0654903806244937,0.04,0.2,0.0,0.005,16,40,0.0,2500,10,0.8,False,True,False
2.0548805204794873,2.0548805204794873,0.03,0.0,0.2,0.02,16,5,0.0,1500,18,0.8,False,True,False
2.0461353671635854,2.0461353671635854,0.02,0.1,0.1,0.02,12,60,0.01,2000,14,0.4,True,True,False
2.0510085245617615,2.0510085245617615,0.02,0.6,0.2,0.02,12,40,0.1,2500,22,0.4,False,True,False
2.0637521451868186,2.0637521451868186,0.04,0.4,0.2,0.005,-1,5,0.01,2500,12,0.8,False,True,False
2.059568374031822,2.059568374031822,0.03,0.0,0.4,0.005,-1,10,0.1,2500,12,0.6,False,True,False
2.0585747161971883,2.0585747161971883,0.04,0.9,0.4,0.02,12,10,0.0,2000,16,0.8,False,True,False
2.049665364462962,2.049665364462962,0.03,0.0,0.6,0.005,8,40,0.1,2500,20,0.6,True,True,False
2.0471569369476312,2.0471569369476312,0.01,0.0,0.4,0.005,8,100,0.0,2000,20,0.8,False,True,False
2.0479281613840907,2.0479281613840907,0.02,0.0,0.6,0.01,-1,10,0.0,2500,10,0.4,True,True,False
2.0460362139325485,2.0460362139325485,0.01,0.9,0.1,0.005,16,20,0.0,2500,14,1.0,False,True,False
2.057776643638306,2.057776643638306,0.04,0.0,0.2,0.01,16,80,0.01,1500,16,0.8,False,True,False
