MAE,MAE_normalized,encoding_dropout,encoding_input_dropout,encoding_layers,gru_dropout,initial_lr,prediction_layers,recurrent_cells,reduce_lr_patience,relu_last_encoding_layer,train_last_part_loss_frac,train_all_previous,target_quantile
2.081820404791571,2.081820404791571,0.3,0.25,[32],0.5,0.0001,[8],"[64, 32]",1,True,0.1,True,True
2.6288142181246155,2.6288142181246155,0.2,0.0,[32],0.5,0.0001,"[32, 16]","[16, 16, 16]",3,True,0.2,True,True
2.065785421681693,2.065785421681693,0.3,0.0,"[32, 32]",0.25,5e-05,[32],"[64, 32]",3,True,0.1,False,True
2.0558876942503916,2.0558876942503916,0.2,0.0,"[32, 32]",0.75,0.0003,"[8, 8]",[32],3,True,0.2,False,True
2.4875854848178993,2.4875854848178993,0.1,0.25,"[32, 32]",0.5,0.0001,"[32, 16]","[64, 32]",3,True,0.1,True,True
2.1341855512278562,2.1341855512278562,0.2,0.0,[32],0.25,5e-05,[8],[8],1,True,0.2,True,True
2.488728637822723,2.488728637822723,0.2,0.12,"[32, 32]",0.5,0.0001,[32],"[64, 32]",1,True,0.2,True,True
2.09500472113973,2.09500472113973,0.3,0.25,"[32, 32]",0.25,0.0001,"[32, 16]",[32],3,True,0.2,True,True
2.604283778890811,2.604283778890811,0.2,0.12,"[32, 32]",0.5,0.0001,"[32, 16]","[32, 16]",1,True,0.4,False,True
2.148091382627117,2.148091382627117,0.1,0.12,[32],0.25,5e-05,"[8, 8]",[8],3,True,0.2,True,True
2.146258897614259,2.146258897614259,0.1,0.12,[32],0.25,5e-05,[8],[8],1,True,0.4,False,True
2.0700324751120167,2.0700324751120167,0.1,0.25,[32],0.75,0.0001,"[8, 8]","[16, 16, 16]",3,True,0.2,True,True
2.857345679243932,2.857345679243932,0.2,0.0,"[32, 32]",0.75,0.0003,"[32, 16]","[64, 32]",3,True,0.1,True,True
2.082648881905683,2.082648881905683,0.1,0.25,[32],0.25,5e-05,[8],"[8, 8]",3,True,0.4,True,True
2.5660298747561803,2.5660298747561803,0.1,0.25,[32],0.5,0.0003,[32],"[64, 32]",3,True,0.2,True,True
2.082943779023514,2.082943779023514,0.1,0.0,[32],0.25,0.0003,"[32, 16]",[32],3,True,0.4,False,True
2.4839326476541483,2.4839326476541483,0.2,0.0,[32],0.5,5e-05,"[32, 16]","[8, 8]",3,True,0.2,False,True
2.0988433455678166,2.0988433455678166,0.3,0.0,"[32, 32]",0.25,0.0003,[32],[8],1,True,0.4,False,True
2.3883619197511035,2.3883619197511035,0.3,0.0,[32],0.5,5e-05,"[32, 16]","[32, 16]",3,True,0.1,False,True
2.2052036496330962,2.2052036496330962,0.1,0.12,"[32, 32]",0.5,0.0001,[8],"[8, 8]",3,True,0.4,False,True
2.1776371533027166,2.1776371533027166,0.3,0.25,"[32, 32]",0.25,5e-05,[32],"[8, 8]",1,True,0.1,True,True
3.205379608088466,3.205379608088466,0.2,0.12,"[32, 32]",0.75,5e-05,"[64, 32]","[32, 16]",3,True,0.1,True,True
2.1227990509947876,2.1227990509947876,0.1,0.12,[32],0.25,5e-05,"[32, 16]","[64, 32]",1,True,0.4,True,True
2.0874990959919386,2.0874990959919386,0.3,0.12,"[32, 32]",0.5,0.0003,[8],[32],1,True,0.1,False,True
2.094286442074752,2.094286442074752,0.1,0.25,"[32, 32]",0.25,0.0001,"[8, 8]","[32, 16]",1,True,0.1,True,True
2.916136395145111,2.916136395145111,0.1,0.25,[32],0.75,5e-05,"[32, 16]","[64, 32]",3,True,0.2,True,True
2.7601598015919415,2.7601598015919415,0.1,0.12,[32],0.75,0.0001,"[64, 32]",[8],3,True,0.4,True,True
2.1543441086887483,2.1543441086887483,0.3,0.25,[32],0.25,0.0001,[32],[8],3,True,0.4,True,True
2.504531689542207,2.504531689542207,0.3,0.25,"[32, 32]",0.5,5e-05,[32],"[8, 8]",1,True,0.4,False,True
2.075741248967629,2.075741248967629,0.1,0.25,[32],0.25,0.0001,"[8, 8]",[32],3,True,0.2,True,True
2.7834274615499526,2.7834274615499526,0.3,0.25,[32],0.75,5e-05,"[32, 16]",[8],1,True,0.2,True,True
2.093427810396304,2.093427810396304,0.2,0.0,"[32, 32]",0.25,0.0003,"[64, 32]",[8],1,True,0.4,False,True
2.3918891838230216,2.3918891838230216,0.2,0.25,"[32, 32]",0.5,0.0003,[32],"[32, 16]",3,True,0.1,False,True
2.099055108869139,2.099055108869139,0.2,0.12,[32],0.75,0.0003,"[8, 8]",[32],3,True,0.2,True,True
2.220044563400893,2.220044563400893,0.1,0.0,[32],0.75,0.0003,[8],"[64, 32]",1,True,0.2,True,True
2.066702127218576,2.066702127218576,0.2,0.0,"[32, 32]",0.5,5e-05,[8],[32],3,True,0.4,True,True
2.0428513186577137,2.0428513186577137,0.3,0.0,[32],0.5,5e-05,"[8, 8]",[32],1,True,0.4,False,True
2.0902549305821796,2.0902549305821796,0.1,0.25,[32],0.25,5e-05,"[8, 8]",[8],3,True,0.4,False,True
2.0258045216113523,2.0258045216113523,0.1,0.0,"[32, 32]",0.25,0.0003,"[8, 8]",[32],3,True,0.4,True,True
2.4606494393284373,2.4606494393284373,0.2,0.0,[32],0.5,5e-05,[32],"[16, 16, 16]",3,True,0.4,False,True
2.4690985646411874,2.4690985646411874,0.3,0.12,"[32, 32]",0.5,0.0003,"[32, 16]",[8],3,True,0.2,False,True
2.166369242623556,2.166369242623556,0.1,0.12,[32],0.5,0.0001,"[8, 8]",[8],3,True,0.4,True,True
2.5157113330760787,2.5157113330760787,0.3,0.0,[32],0.5,0.0003,"[32, 16]","[64, 32]",3,True,0.4,True,True
2.2682098900268466,2.2682098900268466,0.3,0.25,"[32, 32]",0.75,0.0001,"[8, 8]","[8, 8]",3,True,0.2,True,True
